kepid,kepoi_name,label,fp_subtype,koi_disposition,koi_pdisposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_duration
10797460,K00752.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,9.48803557,170.53875,2.9575
10797460,K00752.02,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,54.4183827,162.51384,4.507
10854555,K00755.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,2.525591777,171.59555,1.6545
10872983,K00756.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,11.09432054,171.20116,4.5945
10872983,K00756.02,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,4.13443512,172.97937,3.1402
10872983,K00756.03,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,2.56658897,179.55437,2.429
10910878,K00757.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,16.06864674,173.621937,3.5347
11446443,K00001.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,2.470613377,122.763305,1.74319
10666592,K00002.01,1,planet,CONFIRMED,CANDIDATE,0,1,0,0,2.204735417,121.3585417,3.88864
6922244,K00010.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,3.522498429,121.1194228,3.19843
10984090,K00112.02,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,3.709214104,133.98318,2.6302
10526549,K00746.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,9.27358173,173.258155,3.2875
10583066,K00747.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,6.02930329,171.602959,1.5821
10601284,K00749.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,5.349553819,171.80694,3.0278
10601284,K00749.02,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,3.94105221,136.08662,2.5984
10601284,K00749.03,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,8.10904807,132.8031,3.596
10662202,K00750.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,21.67699193,171.53594,3.4555
10682541,K00751.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,4.99677968,171.74208,2.1717
11460018,K00769.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,4.280963604,171.89659,2.875
11507101,K00773.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,38.3775486,172.82048,5.588
10910878,K00757.02,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,41.19725502,165.00404,4.6297
10910878,K00757.03,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,6.252962249,171.30126,2.5819
10987985,K00758.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,16.01308419,176.3608,3.2554
11018648,K00759.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,32.62876672,194.1019,4.7971
11018648,K00759.02,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,91.7732862,193.8378,6.473
11138155,K00760.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,4.959319244,172.2585292,2.22739
11153539,K00762.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,4.49876511,171.34905,3.7362
9579641,K00115.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,5.412203927,133.143089,2.9472
11304958,K00764.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,41.43958662,208.93203,10.5989
11391957,K00765.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,8.35389523,171.63257,2.2514
11403044,K00766.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,4.125543472,169.752585,3.1744
11414511,K00767.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,2.816504904,170.9676846,2.50587
12110942,K00786.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,3.689920099,170.36571,2.6557
12366084,K00787.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,4.431238488,171.015,3.15
12366084,K00787.02,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,11.37936986,133.84992,2.6255
12404086,K00788.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,26.39432897,176.05459,3.573
8395660,K00116.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,13.57078281,136.279194,3.3539
9579641,K00115.02,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,7.12594387,139.00492,3.0014
11754553,K00775.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,16.38489988,172.72782,3.0249
11754553,K00775.02,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,7.8774163,176.3759,2.0805
11754553,K00775.03,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,36.4454001,151.60125,4.007
11812062,K00776.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,3.728732147,171.793255,2.683
11853255,K00778.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,2.243380573,170.679233,1.1196
11918099,K00780.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,2.337437946,171.761982,1.9982
11923270,K00781.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,11.59822233,180.395376,2.5237
11960862,K00782.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,6.575315881,173.634044,4.3084
12020329,K00783.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,7.275040844,169.994217,7.5377
12066335,K00784.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,19.27153892,186.77093,2.7594
12066335,K00784.02,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,10.06524317,136.28906,1.369
12070811,K00785.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,12.3935651,178.74725,3.8896
8395660,K00116.02,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,43.84439721,151.93538,6.802
3342970,K00800.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,2.711504086,170.03417,3.0099
3342970,K00800.02,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,7.21203748,172.81782,4.0491
12470844,K00790.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,8.47237911,174.16212,2.7245
12470844,K00790.02,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,60.4189369,181.16367,5.039
12644822,K00791.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,12.611904345,180.892284,5.1497
2713049,K00794.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,2.539183147,169.67494,2.4282
3114167,K00795.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,6.770300385,170.57662,2.0844
4139816,K00812.02,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,20.06036336,147.46554,3.3203
4139816,K00812.03,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,46.1842039,165.23729,4.758
8395660,K00116.04,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,23.9800854,147.537,5.351
4139816,K00812.04,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,7.82502168,136.54995,2.186
4275191,K00813.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,3.895936525,170.527552,2.3111
4476123,K00814.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,22.36646466,175.45862,5.228
3351888,K00801.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,1.625522174,170.8266564,2.38963
3641726,K00804.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,9.02930689,177.20422,3.1449
3832474,K00806.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,143.2063047,154.23552,8.9302
8395660,K00116.03,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,6.164876,135.63916,3.262
3832474,K00806.02,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,60.32494216,243.892578,6.6188
3832474,K00806.03,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,29.1598615,150.69922,4.803
3935914,K00809.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,1.594745374,170.6483505,1.9604
3940418,K00810.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,4.783002698,170.508434,2.335
4049131,K00811.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,20.50588921,181.43428,4.0595
4139816,K00812.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,3.340218842,171.979062,1.9104
5358241,K00829.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,18.64932728,174.771,4.4056
10875245,K00117.02,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,4.90144976,138.60548,4.1654
5358241,K00829.02,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,9.75192101,138.78608,4.793
5358241,K00829.03,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,38.5576546,163.85063,5.794
5358624,K00830.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,3.525632539,170.0479951,2.59959
4664847,K00816.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,7.748094239,174.997206,3.5957
4725681,K00817.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,23.96793669,186.22182,3.827
4725681,K00817.02,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,8.29561738,135.79284,1.3421
4913852,K00818.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,8.11437482,176.33968,2.2736
10875245,K00117.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,14.74914825,138.77799,6.0995
5021899,K00821.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,21.81295996,174.01085,4.3791
5164255,K00824.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,15.37562369,173.61402,3.3169
5252423,K00825.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,8.10363271,176.9486,3.161
5252423,K00825.02,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,4.71510843,134.96178,2.506
5272878,K00826.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,6.365839713,171.13575,2.9721
5651104,K00840.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,3.04033046,169.9490106,1.8411
5792202,K00841.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,15.33528675,174.00278,3.897
10875245,K00117.04,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,7.95825328,137.80219,4.377
5792202,K00841.02,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,31.33046135,153.43031,5.176
5436502,K00834.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,23.65369415,171.376107,8.2183
5436502,K00834.02,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,13.23352214,140.32196,6.7372
5436502,K00834.03,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,6.15560285,134.81656,4.9843
5436502,K00834.04,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,2.090811305,134.17462,3.388
10875245,K00117.03,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,3.180027898,133.49863,3.5797
5436502,K00834.05,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,50.4467417,178.5014,7.159
5456651,K00835.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,11.76307164,180.93613,2.9076
5456651,K00835.02,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,56.2279271,132.29259,3.57
5531576,K00837.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,7.953547,174.66224,2.6312
5531576,K00837.02,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,4.14451656,135.92831,2.3421
6291653,K00850.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,10.526294577,176.522462,2.5211
6392727,K00851.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,4.583520948,169.973972,2.7055
6422070,K00852.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,3.76181843,171.90364,3.5176
6428700,K00853.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,8.20396958,169.69138,2.9667
6428700,K00853.02,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,14.49645186,143.41659,4.016
5792202,K00841.03,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,6.54626149,133.85964,2.75
5794379,K00842.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,12.71809866,175.35526,3.0957
5794379,K00842.02,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,36.06588163,198.58423,4.3246
5881688,K00843.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,4.190425659,171.44122,2.8589
6022556,K00844.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,3.709870784,171.987982,3.0694
6032497,K00845.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,16.3297527,177.29506,6.271
6061119,K00846.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,27.807566216,186.713552,4.21587
6191521,K00847.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,80.8723469,203.895,11.195
3531558,K00118.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,24.99324319,138.68167,5.9409
6276477,K00849.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,10.35533116,170.93729,3.1775
6863998,K00867.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,16.08518937,180.28319,3.984
6948054,K00869.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,7.49018305,174.95037,2.7297
6948054,K00869.02,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,36.2761238,201.2869,4.7865
6948054,K00869.03,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,17.46087931,137.26594,2.2641
6435936,K00854.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,56.0560754,201.16578,4.685
6522242,K00855.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,41.408316686,195.78745,5.0264
6587280,K00857.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,5.715425977,174.87931,2.5242
9471974,K00119.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,49.18394185,141.911924,11.3364
6587280,K00857.02,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,20.0261412,146.91109,1.611
6685526,K00861.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,2.237489571,170.81914,1.8119
6784235,K00863.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,3.167893418,172.147959,2.1814
6849310,K00864.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,4.311780262,173.576483,2.7251
6849310,K00864.02,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,20.0504494,188.08821,4.556
6849310,K00864.03,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,9.76734503,186.57718,1.6585
9471974,K00119.02,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,190.3200468,312.68498,15.284
7366258,K00880.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,26.44439337,194.12074,3.9783
7366258,K00880.02,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,51.53997972,174.055011,6.3994
7366258,K00880.03,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,5.902245782,136.78393,2.9003
7366258,K00880.04,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,2.382951591,135.080841,1.8876
7373451,K00881.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,21.02250608,207.67593,4.1072
6948054,K00869.04,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,3.219814777,133.00406,2.0642
6949607,K00870.01,1,planet,CONFIRMED,CANDIDATE,0,0,0,0,5.912273234,172.184012,2.3254
